measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Global,Both,All ages,Cervical cancer,Number,2001,1971646.6547802344,2239901.671064596,1781035.7504903865
Prevalence,Global,Both,All ages,Uterine cancer,Number,2001,1758913.8639385095,1826479.5253790016,1615200.6105740422
Prevalence,Global,Both,All ages,Prostate cancer,Number,2001,5836788.221460603,6936697.507652968,4765273.513570301
Prevalence,Global,Both,All ages,Colon and rectum cancer,Number,2001,5850082.731107157,5996121.132653184,5675163.024769545
Prevalence,Global,Both,All ages,Lip and oral cavity cancer,Number,2001,827528.7445621657,851711.5044616486,802152.989875098
Prevalence,Global,Both,All ages,Nasopharynx cancer,Number,2001,374624.0269590044,398423.9897655812,352379.95688077423
Prevalence,Global,Both,All ages,Other pharynx cancer,Number,2001,126803.27491559702,129817.45763924437,123789.73051162122
Prevalence,Global,Both,All ages,Gallbladder and biliary tract cancer,Number,2001,166622.57798233486,178356.6651194191,150482.55323152192
Prevalence,Global,Both,All ages,Pancreatic cancer,Number,2001,230278.87054210607,236096.06461399232,221117.93667982312
Prevalence,Global,Both,All ages,Non-melanoma skin cancer,Number,2001,1012606.8963817141,1146871.8058009017,894543.9322499443
Prevalence,Global,Both,All ages,Ovarian cancer,Number,2001,766134.9232924604,847327.2862924894,716445.7596204014
Prevalence,Global,Both,All ages,Testicular cancer,Number,2001,493179.31433193624,584016.6678251887,397596.54837804724
Prevalence,Global,Both,All ages,Kidney cancer,Number,2001,1028540.8630519446,1052376.8695753908,1004643.1924318653
Prevalence,Global,Both,All ages,Bladder cancer,Number,2001,1586270.9525533007,1623523.6124452883,1544113.214314402
Prevalence,Global,Both,All ages,Brain and central nervous system cancer,Number,2001,595644.3576964793,665069.0608338729,493188.43970131746
Prevalence,Global,Both,All ages,Thyroid cancer,Number,2001,1012862.4882135969,1055047.9710086058,933593.1523674974
Prevalence,Global,Both,All ages,Esophageal cancer,Number,2005,815642.4975146137,878404.6946504866,587374.6060872378
Prevalence,Global,Both,All ages,Stomach cancer,Number,2005,2062714.8907207646,2168317.049832042,1963638.2809532327
Prevalence,Global,Both,All ages,Liver cancer,Number,2005,498637.59855845344,520827.7541906804,478187.2641312456
Prevalence,Global,Both,All ages,Larynx cancer,Number,2005,852713.9509584124,888533.6554095764,820369.1681028471
Prevalence,Global,Both,All ages,Non-melanoma skin cancer,Number,2005,1840860.1131918358,2071841.806740842,1645624.3612699711
Prevalence,Global,Both,All ages,Ovarian cancer,Number,2005,841917.6329242528,914200.9492910985,791704.54335026
Prevalence,Global,Both,All ages,Testicular cancer,Number,2005,558106.2787385373,651499.4489542034,458993.26573290874
Prevalence,Global,Both,All ages,Kidney cancer,Number,2005,1228760.465052506,1260024.9352885345,1195635.833828374
Prevalence,Global,Both,All ages,Bladder cancer,Number,2005,1817214.3615223994,1863702.298274777,1756518.6781044581
Prevalence,Global,Both,All ages,Brain and central nervous system cancer,Number,2005,670257.4926428391,729594.326384775,555333.0226396944
Prevalence,Global,Both,All ages,Thyroid cancer,Number,2005,1210022.7067457652,1256669.2679623675,1105582.5079559616
Prevalence,Global,Both,All ages,Esophageal cancer,Number,2003,769696.5144630483,831173.066782406,554359.2204088179
Prevalence,Global,Both,All ages,Stomach cancer,Number,2003,1923944.717223347,2013739.5622184908,1838170.712755222
Prevalence,Global,Both,All ages,Liver cancer,Number,2003,531611.7534142792,552911.0401712304,511616.1347321609
Prevalence,Global,Both,All ages,Larynx cancer,Number,2003,825571.598292819,858384.8289439433,796220.3022008879
Prevalence,Global,Both,All ages,Esophageal cancer,Number,2004,800417.8396346025,867037.9146259091,571846.9336710904
Prevalence,Global,Both,All ages,Stomach cancer,Number,2004,2007793.2693788619,2104177.9389073728,1910395.7747795214
Prevalence,Global,Both,All ages,Liver cancer,Number,2004,505071.07878313924,525424.320077812,486248.8339798451
Prevalence,Global,Both,All ages,Larynx cancer,Number,2004,836998.1850745196,869929.1482586169,805685.5586231919
Prevalence,Global,Both,All ages,Non-melanoma skin cancer,Number,2003,1476635.0940205492,1656702.5313612528,1321704.527077803
